Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
L Dudás,DEVELOPMENT OF A MULTI-PURPOSE DESIGN TOOL FOR INVESTIGATION AND MODELLING OF CONJUGATE KINEMATICAL SURFACES,2000,http://ait.iit.uni-miskolc.hu/~dudas/Papers/P13.pdf,,1. NO,1. NO,1. NO,1. NO
"R Crozier, M Mueller",Development of a Multi-Rate Wave-to-Wire Modelling Tool,2017,https://www.research.ed.ac.uk/portal/files/61436755/EWTEC_2017_Crozier_Development_of_a_Multi_Rate_Wave_to_Wire_Modelling_Tool.pdf,,1. NO,1. NO,1. NO,1. NO
"H Oka, T Maruta, Y Ikkai, N Komoda",Development of a Supply Chain Multi-functional Modeling Method anda Simulation Tool,2003,https://ui.adsabs.harvard.edu/abs/2003ITEIS.123.1884O/abstract,,1. NO,1. NO,1. NO,1. NO
"T Kawazu, S Odai, N Shibu, et al.",Development of a support tool for multi-agent based biological modeling,2006,https://ieeexplore.ieee.org/abstract/document/4462718/,,1. NO,2. MAYBE,1. NO,1. NO
M Pastori,Development of an integrated multi-objective modelling tool to assess water and nutrient pressure of agriculture,2017,https://dialnet.unirioja.es/servlet/dctes?codigo=185023,,1. NO,1. NO,1. NO,1. NO
F Tolvaly,Development of Helical Teethed Involute Gear Meshed with a Multi-Edge Cutting Tool Using a Mixed Gear Teeth Modeling Method,2017,https://www.sciencedirect.com/science/article/pii/S1877705817310056,,1. NO,1. NO,1. NO,1. NO
"JD Schieber, D Venerus, HL Scott",Development of multi-scale modeling software for entangled soft matter in advanced soldier protection,2011,https://apps.dtic.mil/sti/citations/ADA555286,,1. NO,1. NO,1. NO,1. NO
"BG Oslin, VS Sherstnev",Development of software on simulation modeling of multi-level information system,2004,https://ieeexplore.ieee.org/abstract/document/1555294/,,1. NO,1. NO,1. NO,1. NO
"S Rehman, RMK Ullah, S Tanv, et al.",Development of user interface for multi-platform applications using the model driven software engineering techniques,2018,https://ieeexplore.ieee.org/abstract/document/8615013/,,1. NO,1. NO,1. NO,1. NO
"Y Van Tendeloo, H Vangheluwe",DEVS modelling and simulation of a multi-paradigm modelling tool,2018,http://msdl.cs.mcgill.ca/people/yentl/papers/2018-SummerSim.pdf,,1. NO,1. NO,1. NO,1. NO
"N Dikaios, T Fujiwara, M Abd Alazeez, D Atkins, et al.",Diagnostic modelling of multi-parametric MRI as a radiological tool to predict transition zone prostate cancer,2012,https://pdfs.semanticscholar.org/b555/cf0966563c9421ac7b435e87a46c949225b8.pdf,,1. NO,1. NO,1. NO,1. NO
"Y Lamo, X Wang, F Mantz, Ø Bech, A Rutle",DPF editor: a multi-layer diagrammatic (meta) modelling environment,2011,https://ict.hvl.no/wp-content/uploads/2019/06/splst11_pres.pdf,,1. NO,1. NO,1. NO,1. NO
"R Shukla, M Shukla, AK Misra, T Marwa, et al.","Dynamic software maintenance effort estimation modeling using neural network, rule engine and multi-regression approach",2012,https://link.springer.com/chapter/10.1007/978-3-642-31128-4_12,10.1007/978-3-642-31128-4_12,2. MAYBE,2. MAYBE,2. MAYBE,1. NO
"V Kumar, R Sahni",Dynamic testing resource allocation modeling for multi-release software using optimal control theory and genetic algorithm,2020,https://www.emerald.com/insight/content/doi/10.1108/IJQRM-09-2019-0296/full/html,,1. NO,1. NO,1. NO,1. NO
"M Bear, J Guillory",Dynamically coupled multi-scale plasma/solid modeling tool,1998,https://ieeexplore.ieee.org/abstract/document/677914/,,1. NO,1. NO,1. NO,1. NO
"A Dittmar, G Buchholz, M Kühn",Effects of facilitation on collaborative modeling sessions with a multi-touch UML editor,2017,https://ieeexplore.ieee.org/abstract/document/7964334/,,1. NO,1. NO,1. NO,1. NO
"PA Hartmann, H Kleen, P Reinkemei, et al.",Efficient modelling and simulation of embedded software multi-tasking using SystemC and OSSS,2008,https://ieeexplore.ieee.org/abstract/document/4641415/,,1. NO,1. NO,1. NO,1. NO
"BR Piper, ME Bialkowski",Electromagnetic modeling of conformal wideband and multi-band patch antennas by bridging a solid-object modeler with MoM software,2004,https://ieeexplore.ieee.org/abstract/document/1388825/,,1. NO,1. NO,1. NO,1. NO
F Grimm,Enabling collaborative modelling for a multi-site model-driven software development approach for electronic control units.,2012,http://eprints.bournemouth.ac.uk/20688/,,3. YES,1. NO,2. MAYBE,1. NO
"F Grimm, KT Phalp, J Vincent",Enabling multi-stakeholder cooperative modelling in automotive software development and implications for model driven software development,2008,http://eprints.bournemouth.ac.uk/11347/,,1. NO,1. NO,1. NO,1. NO
"S Kerrison, K Eder",Energy modelling and optimisation of software for a hardware multi-threaded embedded microprocessor,2013,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.307.3580&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
SP Kerrison,"Energy modelling of multi-threaded, multi-core software for embedded systems",2015,https://stevekerrison.com/thesis/steve-kerrison-phd-thesis.pdf,,1. NO,1. NO,1. NO,1. NO
"G Arnicans, V Arnicane",Evolutionary Reduction of the Complexity of Software Testing by Using Multi-Agent System Modeling Principles,2011,https://books.google.be/books?hl=nl&lr=&id=RcycDwAAQBAJ&oi=fnd&pg=PA149&dq=(%22modeling%22+OR+%22modelling%22+OR+%22model+based%22+OR+%22model+driven%22)+AND+(%22multi*%22+OR+%22blended%22)+AND+(%22notation*%22+OR+%22syntax*%22+OR+%22editor%22+OR+%22tool%22+OR+%22software%22)&ots=D2aLcZXpZl&sig=Wn6SArbHjA8YJ453HzP5mFYQ_t0,,1. NO,1. NO,1. NO,1. NO
"S Tamang, M Chandrasekaran",Experimental investigation and development of multi response ANN modeling in turning Al-SiCp MMC using polycrystalline diamond tool,2014,https://www.researchgate.net/profile/Santosh_Tamang2/publication/265421445_Experimental_Investigation_and_Development_of_Multi_Response_ANN_Modeling_in_Turning_Al-SiCp_MMC_using_Polycrystalline_Diamond_Tool/links/540edb760cf2df04e757fb01.pdf,,1. NO,1. NO,1. NO,1. NO
"O Galán, JA Romagnoli, A Palazoğ, et al.",Experimental Verification of Gap Metric as a Tool for Model Selection in Multi-Linear Model-Based Control,2004,https://www.sciencedirect.com/science/article/pii/S1474667017387414,,1. NO,1. NO,1. NO,1. NO
M Gogolla,Experimenting with Multi-Level Models in a Two-Level Modeling Tool.,2015,ftp://ceur-ws.org/pub/publications/CEUR-WS/Vol-1505.zip#page=9,,3. YES,3. YES,3. YES,3. YES
"V Dimitrieski, M Čeliković, S Aleks, et al.",Extended entity-relationship approach in a multi-paradigm information system modeling tool,2014,https://doi.org/10.15439/2014F239,10.15439/2014F239,2. MAYBE,3. YES,3. YES,3. YES
"A Abbas, IF Siddiqui, SUJ Lee",Feature Modeling with Multi-Software Product Line of IoT Protocols,2017,http://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE07101017,,1. NO,1. NO,1. NO,1. NO
"D Prévost, S Lavernhe, C Lartig, et al.",Feed drive modelling for the simulation of tool path tracking in multi-axis High Speed Machining,2011,https://www.inderscienceonline.com/doi/abs/10.1504/IJMMS.2011.041472,10.1504/IJMMS.2011.041472,1. NO,1. NO,1. NO,1. NO
"W Quandi, L Linghong, AN Zongyu, P Heme, et al.",Finite element modeling and multi-software co-simulation in automobile EMC prediction,2015,http://cqdxxb.cnjournals.org/ch/reader/view_abstract.aspx?file_no=201302003&flag=1,,1. NO,1. NO,1. NO,1. NO
J Marchand,Formal and tool-supported operator for multi-formalism modelling,2018,ftp://131.254.254.45/local/caps/DEPOTS/BIBLIO2011/Marchand_Jonathan.pdf,,1. NO,1. NO,1. NO,1. NO
"G Ali, SA Khan, NA Zafar, F Ahmad, A Has, et al.",Formal modeling towards a dynamic organization of multi-agent systems using communicating X-machine and Z-notation,2012,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.875.2677&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
J Singh,"Fuzzy Logics and Fuzzy Set Theory based Multi-objective Decision Making, Modeling Tool generalized for Planning for Sustainable Water Supply",2011,http://www.itpi.org.in/files/jul9_11.pdf,,1. NO,1. NO,1. NO,1. NO
"TDGA Mondeel, F Crémazy, M Barberis",GEMMER: GEnome-wide tool for Multi-scale Modeling data Extraction and Representation for Saccharomyces cerevisiae,2018,https://academic.oup.com/bioinformatics/article-abstract/34/12/2147/4833526,,1. NO,1. NO,1. NO,1. NO
"I Saraf, AK Shrivastava, J Iqbal",Generalised fault detection and correction modelling framework for multi-release of software,2020,https://www.inderscienceonline.com/doi/abs/10.1504/IJISE.2020.106085,10.1504/IJISE.2020.106085,1. NO,1. NO,1. NO,1. NO
"I Saraf, J Iqbal",Generalized multi‐release modelling of software reliability growth models from the perspective of two types of imperfect debugging and change point,2019,https://onlinelibrary.wiley.com/doi/abs/10.1002/qre.2516,,1. NO,1. NO,1. NO,1. NO
"P Fettke, P Loos, K Pastor",GenGraph: A multi-grammar and multi-perspective business modeling tool–Overview of conceptualization and implementation,2004,https://dl.gi.de/handle/20.500.12116/29534,,3. YES,3. YES,3. YES,3. YES
"T Bauer, P Skyttä, M Dehghannej, et al.","Geological Multi-scale modelling as a tool for modern ore exploration in the Skellefte mining district, Sweden",2011,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1012737,,1. NO,1. NO,1. NO,1. NO
"Y LIU, Q MENG",Geometric error modeling for gantry multi-axis machine tool [J],2012,http://en.cnki.com.cn/Article_en/CJFDTotal-JXSJ201208017.htm,,1. NO,1. NO,1. NO,1. NO
"M Cossentino, D Dalle Nogare, R Giancarlo, C Loda, et al.",GIMT: A Tool for Ontology and Goal Modeling in BDI Multi-Agent Design.,2014,http://ceur-ws.org/Vol-1260/paper10.pdf,,3. YES,3. YES,3. YES,3. YES
A Bouramoul,Gravizor: A Graphical Tool for the Visualization of Web Search Engines Results with Multi-Agent Based Modeling,2017,https://www.igi-global.com/article/gravizor/181874,,1. NO,1. NO,1. NO,1. NO
"LP Hawker, WW Lee, DJ Fontaine",Hazard Assessment Modeling-A Multi-Purpose HSE Tool,1998,https://www.onepetro.org/conference-paper/SPE-46647-MS,,1. NO,1. NO,1. NO,1. NO
"RH Fleming, ME Berry",Hierarchical multi-granular modeling to improve software performance,1982,https://dl.acm.org/doi/abs/10.5555/800063.801245,10.5555/800063.801245,1. NO,1. NO,1. NO,1. NO
"Y Song, L Wang",High Credible Model of Software Based on Multi-Level Fuzzy Comprehensive Evaluation Method,2010,https://ieeexplore.ieee.org/abstract/document/5474407/,,1. NO,1. NO,1. NO,1. NO
"S Reese, G Smart",High resolution inundation modelling as part of a multi-hazard loss modelling tool,2009,https://books.google.be/books?hl=nl&lr=&id=7loZ0X2uCuMC&oi=fnd&pg=PA288&dq=(%22modeling%22+OR+%22modelling%22+OR+%22model+based%22+OR+%22model+driven%22)+AND+(%22multi*%22+OR+%22blended%22)+AND+(%22notation*%22+OR+%22syntax*%22+OR+%22editor%22+OR+%22tool%22+OR+%22software%22)&ots=SqEPcR7scM&sig=7dk9QCg-T18o6eUmlvr02kElkl8,,1. NO,1. NO,1. NO,1. NO
"Z Zhai, E Fonseca",History Match Case Study With a Multi-Cluster & Multi-Well Hydraulic Fracture Modeling Tool,2015,http://archives.datapages.com/data/urtec/2015/2153981.pdf,,1. NO,1. NO,1. NO,1. NO
"A Christodoulou, R Taylor, C Tofts",Holos-a simulation and multi mathematical modelling tool,2004,https://patents.google.com/patent/US20040093585A1/en,,1. NO,1. NO,1. NO,1. NO
"J Jończyk, B Malawska, M Bajda",Hybrid approach to structure modeling of the histamine H3 receptor: Multi-level assessment as a tool for model verification,2017,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0186108,,1. NO,1. NO,1. NO,1. NO
"F Peng, M Zhang, R Yan, J Ma, B Li",Hybrid dynamic modeling and simulation of multi-axis welding machine tool,1997,https://www.researchgate.net/profile/Fangyu_Peng/publication/238520505_Hybrid_dynamic_modeling_and_simulation_of_multi-axis_laser_welding_machine_tool/links/5523d0d20cf24f1609437b20.pdf,,3. YES,1. NO,2. MAYBE,1. NO
DMH Lochmann,HybridMDSD: Multi-Domain Engineering with Model-Driven Software Development using Ontological Foundations,2009,https://pdfs.semanticscholar.org/2bab/271e646d751851de9abd26e0afa51ef54f15.pdf,,1. NO,1. NO,1. NO,1. NO
"Y Akintola, V Senthilkumar, DS Root","Identification of Process, Team and Tool Dependencies in Building Information Modelling (BIM) Implementation using Multi-Domain Mapping (MDM)–A Theoretical …",2015,https://www.designsociety.org/publication/38609/Identification+of+Process%2C+Team+and+Tool+Dependencies+in+Building+Information+Modelling+%28BIM%29+Implementation+using+Multi-Domain+Mapping+%28MDM%29+%E2%80%93+A+Theoretical+Framework,,1. NO,1. NO,1. NO,1. NO
"J Park, J Baik",Improving software reliability prediction through multi-criteria based dynamic model selection and combination,2015,https://www.sciencedirect.com/science/article/pii/S0164121214002878,,1. NO,1. NO,1. NO,1. NO
"MA McCarthy, CT McCarthy, GS Padhi","Initial Multi-Bolt Joint Results from BOLJAT, a Tool for Semi-Automated Three-Dimensional Modelling of Composite Aircraft Bolted Joints",2010,https://www.researchgate.net/profile/Michael_Mccarthy5/publication/291103155_Initial_Multi-Bolt_Results_from_BOLJAT_a_Tool_for_Semi-Automated_Three-dimensional_Modelling_of_Composite_Aircraft_Bolted_Joints/links/569e785608aee4d26ad01f4d/Initial-Multi-Bolt-Results-from-BOLJAT-a-Tool-for-Semi-Automated-Three-dimensional-Modelling-of-Composite-Aircraft-Bolted-Joints.pdf,,2. MAYBE,1. NO,1. NO,1. NO
"Z Shouwei, L Zhizhou, M Sa, et al.",Integrated evaluation model of software reliability based on multi-information,2009,https://ieeexplore.ieee.org/abstract/document/5319439/,,1. NO,1. NO,1. NO,1. NO
"RT Apasov, IL Chameev, AI Varav, et al.",Integrated modeling: a tool to improve quality of design solutions in development of oil rims of multi-zone oil-gas-condensate fields (Russian),2018,https://www.onepetro.org/journal-paper/OIJ-2018-12-046-049-RU,,1. NO,1. NO,1. NO,1. NO
"JV Guinelli, CE Pantoja, R Choren",Integrating a Tropos Modeling Tool with a MDA Methodology for Engineering Multi-agent Systems,2011,https://www.researchgate.net/profile/Carlos_Pantoja6/publication/277403598_Integrating_a_Tropos_Modeling_Tool_With_a_MDA_Methodology_for_Engineering_Multi-Agent_Systems/links/5569ef0108aeccd77739fd2a/Integrating-a-Tropos-Modeling-Tool-With-a-MDA-Methodology-for-Engineering-Multi-Agent-Systems.pdf,,3. YES,3. YES,3. YES,3. YES
"JP Mckenna, N McLean, A Gachag, et al.",Integrating flaw-response modelling tools used for inspection qualification into a Multi-Agent System software platform,2008,https://www.ingentaconnect.com/content/bindt/insight/2008/00000050/00000002/art00005,,1. NO,1. NO,1. NO,1. NO
"A Quillet, M Garneau, S van Bellen, S Frolki, et al.",INTEGRATION OF MULTI-PROXY DATASETS IN A PEATLAND MODELLING EXERCISE: A NEW TOOL FOR P ALAEO-ECOLOGICAL STUDIES,2013,https://core.ac.uk/download/pdf/18490977.pdf#page=98,,1. NO,1. NO,1. NO,1. NO
"J Sun, L Xi, E Pan, S Du, B Ju",Integration of product quality and tool degradation for reliability modelling and analysis of multi-station manufacturing systems,2009,https://www.tandfonline.com/doi/abs/10.1080/09511920802209058,,1. NO,1. NO,1. NO,1. NO
J Duggan,iSimPlus: A multi-method simulation tool for modelling complex systems,2011,http://proceedings.systemdynamics.org/2011/proceed/papers/P1178.pdf,,1. NO,1. NO,1. NO,1. NO
"CS Vishik, L Suryanarayana","Knowledge management, capture and modeling tool for multi-modal communications",2008,https://patents.google.com/patent/US7450696B2/en,,1. NO,1. NO,1. NO,1. NO
"T Zhang, H Ueno",Knowledge model-based heterogeneous multi-robot system implemented by a software platform,2007,https://doi.org/10.1016/j.knosys.2006.04.019,10.1016/j.knosys.2006.04.019,3. YES,2. MAYBE,3. YES,3. YES
"J Moussodji, O Chacon, F Santer, et al.",Laser grooving of multi stack material modeling: implementation of a high accuracy tool for laser-grooving and dicing application,2019,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10905/109050D/Laser-grooving-of-multi-stack-material-modeling--implementation-of/10.1117/12.2504649.full?sessionGUID=83c9d902-bc99-93ce-d268-bead49a28531&webSyncID=e46e9e6e-c7a4-9dab-6a0c-bad059329ad8&sessionGUID=83c9d902-bc99-93ce-d268-bead49a28531,,1. NO,1. NO,1. NO,1. NO
"S Birrer, A Amara",lenstronomy: Multi-purpose gravitational lens modelling software package,2018,https://www.sciencedirect.com/science/article/pii/S2212686418301869,,1. NO,1. NO,1. NO,1. NO
DPS RATHORE,Letter to the Editor: Query related to publication titled “The Role of GIS in Spatial Modeling of Multi-disciplinary Geoscientific Data for Uranium Exploration over …,2010,https://www.researchgate.net/profile/DPS_RATHORE/publication/293484519_Letter_to_the_Editor_Query_related_to_publication_titled_The_Role_of_GIS_in_Spatial_Modeling_of_Multi-disciplinary_Geoscientific_Data_for_Uranium_Exploration_over_the_Kunjar-Darjing_Basin_Odisha_by_Ch/links/56b8becf08ae8b1c73fba717/Letter-to-the-Editor-Query-related-to-publication-titled-The-Role-of-GIS-in-Spatial-Modeling-of-Multi-disciplinary-Geoscientific-Data-for-Uranium-Exploration-over-the-Kunjar-Darjing-Basin-Odisha-by-C,,1. NO,1. NO,1. NO,1. NO
"JB Ferreira Filho, O Barais, B Baud, et al.",Leveraging variability modeling for multi-dimensional model-driven software product lines,2012,https://ieeexplore.ieee.org/abstract/document/6229774/,,1. NO,1. NO,1. NO,1. NO
"JA Maldonado, D Moner, D Bos, et al.",LinkEHR-Ed: A multi-reference model archetype editor based on formal semantics,2009,https://doi.org/10.1016/j.ijmedinf.2009.03.006,10.1016/j.ijmedinf.2009.03.006,3. YES,3. YES,3. YES,3. YES
